gene,fake
ASCL4,Gene 1120
ASCL5,Gene 1121
ASF1A,Gene 1122
ASF1B,Gene 1123
ASFMR1,Gene 1124
ASGR1,Gene 1125
ASGR2,Gene 1126
ASH1L,Gene 1127
ASH2L,Gene 1128
ASIP,Gene 1129
ASL,Gene 1130
ASMT,Gene 1131
ASMTL,Gene 1132
ASNA1,Gene 1133
ASNS,Gene 1134
ASNSD1,Gene 1135
ASPA,Gene 1136
ASPG,Gene 1137
ASPH,Gene 1138
ASPHD1,Gene 1139
ASPHD2,Gene 1140
ASPM,Gene 1141
ASPN,Gene 1142
ASPRV1,Gene 1143
ASPSCR1,Gene 1144
ASRGL1,Gene 1145
ASS1,Gene 1146
ASTE1,Gene 1147
ASTL,Gene 1148
ASTN1,Gene 1149
ASTN2,Gene 1150
ASXL1,Gene 1151
ASXL2,Gene 1152
ASXL3,Gene 1153
ASZ1,Gene 1154
ATAD1,Gene 1155
ATAD2,Gene 1156
ATAD2B,Gene 1157
ATAD3A,Gene 1158
ATAD3B,Gene 1159
ATAD3C,Gene 1160
ATAD5,Gene 1161
ATCAY,Gene 1162
ATE1,Gene 1163
ATF1,Gene 1164
ATF2,Gene 1165
ATF3,Gene 1166
ATF4,Gene 1167
ATF5,Gene 1168
ATF6,Gene 1169
ATF6B,Gene 1170
ATF7,Gene 1171
ATF7IP,Gene 1172
ATF7IP2,Gene 1173
ATG10,Gene 1174
ATG12,Gene 1175
ATG16L1,Gene 1176
ATG16L2,Gene 1177
ATG2A,Gene 1178
ATG2B,Gene 1179
ATG3,Gene 1180
ATG4A,Gene 1181
ATG4B,Gene 1182
ATG4C,Gene 1183
ATG4D,Gene 1184
ATG5,Gene 1185
ATG7,Gene 1186
ATG9A,Gene 1187
ATG9B,Gene 1188
ATHL1,Gene 1189
ATIC,Gene 1190
ATL1,Gene 1191
ATL2,Gene 1192
ATL3,Gene 1193
ATM,Gene 1194
ATMIN,Gene 1195
ATN1,Gene 1196
ATOH1,Gene 1197
ATOH7,Gene 1198
ATOH8,Gene 1199
ATOX1,Gene 1200
ATP10A,Gene 1201
ATP10B,Gene 1202
ATP10D,Gene 1203
ATP11A,Gene 1204
ATP11B,Gene 1205
ATP11C,Gene 1206
ATP12A,Gene 1207
ATP13A1,Gene 1208
ATP13A2,Gene 1209
ATP13A3,Gene 1210
ATP13A4,Gene 1211
ATP13A5,Gene 1212
ATP1A1,Gene 1213
ATP1A2,Gene 1214
ATP1A3,Gene 1215
ATP1A4,Gene 1216
ATP1B1,Gene 1217
ATP1B2,Gene 1218
ATP1B3,Gene 1219
ATP1B4,Gene 1220
ATP2A1,Gene 1221
ATP2A2,Gene 1222
ATP2A3,Gene 1223
ATP2B1,Gene 1224
ATP2B2,Gene 1225
ATP2B3,Gene 1226
ATP2B4,Gene 1227
ATP2C1,Gene 1228
ATP2C2,Gene 1229
ATP4A,Gene 1230
ATP4B,Gene 1231
ATP5A1,Gene 1232
ATP5B,Gene 1233
ATP5C1,Gene 1234
ATP5D,Gene 1235
ATP5E,Gene 1236
ATP5EP2,Gene 1237
ATP5F1,Gene 1238
ATP5G1,Gene 1239
ATP5G2,Gene 1240
ATP5G3,Gene 1241
ATP5H,Gene 1242
ATP5I,Gene 1243
ATP5J,Gene 1244
ATP5J2,Gene 1245
ATP5L,Gene 1246
ATP5O,Gene 1247
ATP5S,Gene 1248
ATP5SL,Gene 1249
ATP6AP1,Gene 1250
ATP6AP1L,Gene 1251
ATP6AP2,Gene 1252
ATP6V0A1,Gene 1253
ATP6V0A2,Gene 1254
ATP6V0A4,Gene 1255
ATP6V0B,Gene 1256
ATP6V0C,Gene 1257
ATP6V0D1,Gene 1258
ATP6V0D2,Gene 1259
ATP6V0E1,Gene 1260
ATP6V0E2,Gene 1261
ATP6V1A,Gene 1262
ATP6V1B1,Gene 1263
ATP6V1B2,Gene 1264
ATP6V1C1,Gene 1265
ATP6V1C2,Gene 1266
ATP6V1D,Gene 1267
ATP6V1E1,Gene 1268
ATP6V1E2,Gene 1269
ATP6V1F,Gene 1270
ATP6V1G1,Gene 1271
ATP6V1G2,Gene 1272
ATP6V1G3,Gene 1273
ATP6V1H,Gene 1274
ATP7A,Gene 1275
ATP7B,Gene 1276
ATP8A1,Gene 1277
ATP8A2,Gene 1278
ATP8B1,Gene 1279
ATP8B2,Gene 1280
ATP8B3,Gene 1281
ATP8B4,Gene 1282
ATP9A,Gene 1283
ATP9B,Gene 1284
ATPAF1,Gene 1285
ATPAF2,Gene 1286
ATPBD1B,Gene 1287
ATPBD3,Gene 1288
ATPBD4,Gene 1289
ATPGD1,Gene 1290
ATPIF1,Gene 1291
ATR,Gene 1292
ATRIP,Gene 1293
ATRN,Gene 1294
ATRNL1,Gene 1295
ATRX,Gene 1296
ATXN1,Gene 1297
ATXN10,Gene 1298
ATXN1L,Gene 1299
ATXN2,Gene 1300
ATXN2L,Gene 1301
ATXN3,Gene 1302
ATXN3L,Gene 1303
ATXN7,Gene 1304
ATXN7L1,Gene 1305
ATXN7L2,Gene 1306
ATXN7L3,Gene 1307
ATXN8OS,Gene 1308
AUH,Gene 1309
AUP1,Gene 1310
AURKA,Gene 1311
AURKAIP1,Gene 1312
AURKAPS1,Gene 1313
AURKB,Gene 1314
AURKC,Gene 1315
AUTS2,Gene 1316
AVEN,Gene 1317
AVIL,Gene 1318
AVL9,Gene 1319
AVP,Gene 1320
AVPI1,Gene 1321
AVPR1A,Gene 1322
AVPR1B,Gene 1323
AVPR2,Gene 1324
AWAT2,Gene 1325
AXIN1,Gene 1326
AXIN2,Gene 1327
AXL,Gene 1328
AXUD1,Gene 1329
AYP1p1,Gene 1330
AZGP1,Gene 1331
AZI1,Gene 1332
AZI2,Gene 1333
AZIN1,Gene 1334
AZU1,Gene 1335
B2M,Gene 1336
B3GALNT1,Gene 1337
B3GALNT2,Gene 1338
B3GALT1,Gene 1339
B3GALT2,Gene 1340
B3GALT3,Gene 1341
B3GALT4,Gene 1342
B3GALT5,Gene 1343
B3GALT6,Gene 1344
B3GALTL,Gene 1345
B3GAT1,Gene 1346
B3GAT2,Gene 1347
B3GAT3,Gene 1348
B3GNT1,Gene 1349
B3GNT2,Gene 1350
B3GNT3,Gene 1351
B3GNT4,Gene 1352
B3GNT5,Gene 1353
B3Gn-T6,Gene 1354
B3GNT6,Gene 1355
B3GNT7,Gene 1356
B3GNT8,Gene 1357
B3GNT9,Gene 1358
B3GNTL1,Gene 1359
B4GALNT1,Gene 1360
B4GALNT2,Gene 1361
B4GALNT3,Gene 1362
B4GALNT4,Gene 1363
B4GALT1,Gene 1364
B4GALT2,Gene 1365
B4GALT3,Gene 1366
B4GALT4,Gene 1367
B4GALT5,Gene 1368
B4GALT6,Gene 1369
B4GALT7,Gene 1370
B9D1,Gene 1371
B9D2,Gene 1372
BAALC,Gene 1373
BAAT,Gene 1374
BACE1,Gene 1375
BACE2,Gene 1376
BACH1,Gene 1377
BACH2,Gene 1378
BAD,Gene 1379
BAG1,Gene 1380
BAG2,Gene 1381
BAG3,Gene 1382
BAG4,Gene 1383
BAG5,Gene 1384
BAGE,Gene 1385
BAGE2,Gene 1386
BAGE3,Gene 1387
BAGE4,Gene 1388
BAGE5,Gene 1389
BAHCC1,Gene 1390
BAHD1,Gene 1391
BAI1,Gene 1392
BAI2,Gene 1393
BAI3,Gene 1394
BAIAP2,Gene 1395
BAIAP2L1,Gene 1396
BAIAP2L2,Gene 1397
BAIAP3,Gene 1398
BAK1,Gene 1399
BAMBI,Gene 1400
BANF1,Gene 1401
BANF2,Gene 1402
BANK1,Gene 1403
BANP,Gene 1404
BAP1,Gene 1405
BAPX1,Gene 1406
BARD1,Gene 1407
BARHL1,Gene 1408
BARHL2,Gene 1409
BARX1,Gene 1410
BARX2,Gene 1411
BASE,Gene 1412
BASP1,Gene 1413
BAT1,Gene 1414
BAT2,Gene 1415
BAT2D1,Gene 1416
BAT2L,Gene 1417
BAT3,Gene 1418
BAT4,Gene 1419
BAT5,Gene 1420
BATF,Gene 1421
BATF2,Gene 1422
BATF3,Gene 1423
BAX,Gene 1424
BAZ1A,Gene 1425
BAZ1B,Gene 1426
BAZ2A,Gene 1427
BAZ2B,Gene 1428
BBC3,Gene 1429
BBOX1,Gene 1430
BBS1,Gene 1431
BBS10,Gene 1432
BBS12,Gene 1433
BBS2,Gene 1434
BBS4,Gene 1435
BBS5,Gene 1436
BBS7,Gene 1437
BBS9,Gene 1438
BBX,Gene 1439
BCAM,Gene 1440
BCAN,Gene 1441
BCAP29,Gene 1442
BCAP31,Gene 1443
BCAR1,Gene 1444
BCAR3,Gene 1445
BCAR4,Gene 1446
BCAS1,Gene 1447
BCAS2,Gene 1448
BCAS3,Gene 1449
BCAS4,Gene 1450
BCAT1,Gene 1451
BCAT2,Gene 1452
BCCIP,Gene 1453
BCDIN3D,Gene 1454
BCHE,Gene 1455
BCKDHA,Gene 1456
BCKDHB,Gene 1457
BCKDK,Gene 1458
BCL10,Gene 1459
BCL11A,Gene 1460
BCL11B,Gene 1461
BCL2,Gene 1462
BCL2A1,Gene 1463
BCL2L1,Gene 1464
BCL2L10,Gene 1465
BCL2L11,Gene 1466
BCL2L12,Gene 1467
BCL2L13,Gene 1468
BCL2L14,Gene 1469
BCL2L15,Gene 1470
BCL2L2,Gene 1471
BCL3,Gene 1472
BCL6,Gene 1473
BCL6B,Gene 1474
BCL7A,Gene 1475
BCL7B,Gene 1476
BCL7C,Gene 1477
BCL8,Gene 1478
BCL9,Gene 1479
BCL9L,Gene 1480
BCLAF1,Gene 1481
BCMO1,Gene 1482
BCO2,Gene 1483
BCOR,Gene 1484
BCORL1,Gene 1485
BCORL2,Gene 1486
BCR,Gene 1487
BCS1L,Gene 1488
BCYRN1,Gene 1489
BDH1,Gene 1490
BDH2,Gene 1491
BDKRB1,Gene 1492
BDKRB2,Gene 1493
BDNF,Gene 1494
BDNFOS,Gene 1495
BDP1,Gene 1496
BEAN,Gene 1497
BECN1,Gene 1498
BECN1L1,Gene 1499
BEGAIN,Gene 1500
BEND2,Gene 1501
BEND3,Gene 1502
BEND4,Gene 1503
BEND5,Gene 1504
BEND6,Gene 1505
BEND7,Gene 1506
BEST1,Gene 1507
BEST2,Gene 1508
BEST3,Gene 1509
BEST4,Gene 1510
BET1,Gene 1511
BET1L,Gene 1512
BET3L,Gene 1513
BEX1,Gene 1514
BEX2,Gene 1515
BEX4,Gene 1516
BEX5,Gene 1517
BEXL1,Gene 1518
BEYLA,Gene 1519
BFAR,Gene 1520
BFSP1,Gene 1521
BFSP2,Gene 1522
BGLAP,Gene 1523
BGN,Gene 1524
BHLHA15,Gene 1525
BHLHB2,Gene 1526
BHLHB3,Gene 1527
BHLHB4,Gene 1528
BHLHB9,Gene 1529
BHLHE22,Gene 1530
BHMT,Gene 1531
BHMT2,Gene 1532
BICC1,Gene 1533
BICD1,Gene 1534
BICD2,Gene 1535
BID,Gene 1536
BIK,Gene 1537
BIN1,Gene 1538
BIN2,Gene 1539
BIN3,Gene 1540
BIRC1,Gene 1541
BIRC2,Gene 1542
BIRC3,Gene 1543
BIRC5,Gene 1544
BIRC6,Gene 1545
BIRC7,Gene 1546
BIRC8,Gene 1547
BIVM,Gene 1548
BLCAP,Gene 1549
BLID,Gene 1550
BLK,Gene 1551
BLM,Gene 1552
BLMH,Gene 1553
BLNK,Gene 1554
BLOC1S1,Gene 1555
BLOC1S2,Gene 1556
BLOC1S3,Gene 1557
BLR1,Gene 1558
BLVRA,Gene 1559
BLVRB,Gene 1560
BLZF1,Gene 1561
BMF,Gene 1562
BMI1,Gene 1563
BMP1,Gene 1564
BMP10,Gene 1565
BMP15,Gene 1566
BMP2,Gene 1567
BMP2K,Gene 1568
BMP2KL,Gene 1569
BMP3,Gene 1570
BMP4,Gene 1571
BMP5,Gene 1572
BMP6,Gene 1573
BMP7,Gene 1574
BMP8A,Gene 1575
BMP8B,Gene 1576
BMPER,Gene 1577
BMPR1A,Gene 1578
BMPR1B,Gene 1579
BMPR2,Gene 1580
BMS1,Gene 1581
BMS1P5,Gene 1582
BMX,Gene 1583
BNC1,Gene 1584
BNC2,Gene 1585
BNIP1,Gene 1586
BNIP2,Gene 1587
BNIP3,Gene 1588
BNIP3L,Gene 1589
BNIPL,Gene 1590
BOAT,Gene 1591
BOC,Gene 1592
BOK,Gene 1593
BOLA1,Gene 1594
BOLA2,Gene 1595
BOLA2B,Gene 1596
BOLA3,Gene 1597
BOLL,Gene 1598
BOP1,Gene 1599
BP75,Gene 1600
BPESC1,Gene 1601
BPGM,Gene 1602
BPHL,Gene 1603
BPI,Gene 1604
BPIL1,Gene 1605
BPIL2,Gene 1606
BPIL3,Gene 1607
BPNT1,Gene 1608
BPTF,Gene 1609
BPY2,Gene 1610
BPY2B,Gene 1611
BPY2C,Gene 1612
BRAF,Gene 1613
BRAP,Gene 1614
BRCA1,Gene 1615
BRCA2,Gene 1616
BRCC3,Gene 1617
BRD1,Gene 1618
BRD2,Gene 1619
BRD3,Gene 1620
BRD4,Gene 1621
BRD7,Gene 1622
BRD7P2,Gene 1623
BRD7P3,Gene 1624
BRD8,Gene 1625
BRD9,Gene 1626
BRDG1,Gene 1627
BRDT,Gene 1628
BRE,Gene 1629
BREA2,Gene 1630
BRF1,Gene 1631
BRF2,Gene 1632
BRI3,Gene 1633
BRI3BP,Gene 1634
BRI3P1,Gene 1635
BRIP1,Gene 1636
BRIX1,Gene 1637
BRMS1,Gene 1638
BRMS1L,Gene 1639
BRP44,Gene 1640
BRP44L,Gene 1641
BRPF1,Gene 1642
BRPF3,Gene 1643
BRS3,Gene 1644
BRSK1,Gene 1645
BRSK2,Gene 1646
BRUNOL4,Gene 1647
BRUNOL5,Gene 1648
BRUNOL6,Gene 1649
BRWD1,Gene 1650
BRWD2,Gene 1651
BRWD3,Gene 1652
BSCL2,Gene 1653
BSDC1,Gene 1654
BSG,Gene 1655
BSN,Gene 1656
BSND,Gene 1657
BSPH1,Gene 1658
BSPRY,Gene 1659
BST1,Gene 1660
BST2,Gene 1661
BSX,Gene 1662
BTAF1,Gene 1663
BTBD1,Gene 1664
BTBD10,Gene 1665
BTBD11,Gene 1666
BTBD12,Gene 1667
BTBD15,Gene 1668
BTBD16,Gene 1669
BTBD17,Gene 1670
BTBD2,Gene 1671
BTBD3,Gene 1672
BTBD6,Gene 1673
BTBD7,Gene 1674
BTBD8,Gene 1675
BTBD9,Gene 1676
BTC,Gene 1677
BTD,Gene 1678
BTF3,Gene 1679
BTF3L1,Gene 1680
BTF3L4,Gene 1681
BTG1,Gene 1682
BTG2,Gene 1683
BTG3,Gene 1684
BTG4,Gene 1685
BTK,Gene 1686
BTLA,Gene 1687
BTN1A1,Gene 1688
BTN2A1,Gene 1689
BTN2A2,Gene 1690
BTN2A3,Gene 1691
BTN3A1,Gene 1692
BTN3A2,Gene 1693
BTN3A3,Gene 1694
BTNL2,Gene 1695
BTNL3,Gene 1696
BTNL8,Gene 1697
BTNL9,Gene 1698
BTRC,Gene 1699
BUB1,Gene 1700
BUB1B,Gene 1701
BUB3,Gene 1702
BUD13,Gene 1703
BUD31,Gene 1704
BVES,Gene 1705
BYSL,Gene 1706
BZRAP1,Gene 1707
BZRPL1,Gene 1708
BZW1,Gene 1709
BZW2,Gene 1710
C10orf10,Gene 1711
C10orf104,Gene 1712
C10orf105,Gene 1713
C10orf107,Gene 1714
C10orf108,Gene 1715
C10orf11,Gene 1716
C10orf110,Gene 1717
C10orf111,Gene 1718
C10orf112,Gene 1719
C10orf113,Gene 1720
C10orf114,Gene 1721
C10orf115,Gene 1722
C10orf116,Gene 1723
C10orf118,Gene 1724
C10orf119,Gene 1725
C10orf12,Gene 1726
C10orf120,Gene 1727
C10orf122,Gene 1728
C10orf125,Gene 1729
C10orf128,Gene 1730
C10orf129,Gene 1731
C10orf131,Gene 1732
C10orf136,Gene 1733
C10orf137,Gene 1734
C10orf140,Gene 1735
C10orf141,Gene 1736
C10orf18,Gene 1737
C10orf2,Gene 1738
C10orf21,Gene 1739
C10orf25,Gene 1740
C10orf26,Gene 1741
C10orf27,Gene 1742
C10orf28,Gene 1743
C10orf30,Gene 1744
C10orf31,Gene 1745
C10orf32,Gene 1746
C10orf33,Gene 1747
C10orf35,Gene 1748
C10orf37,Gene 1749
C10orf39,Gene 1750
C10orf4,Gene 1751
C10orf40,Gene 1752
C10orf41,Gene 1753
C10orf46,Gene 1754
C10orf47,Gene 1755
C10orf50,Gene 1756
C10orf51,Gene 1757
C10orf53,Gene 1758
C10orf54,Gene 1759
C10orf55,Gene 1760
C10orf57,Gene 1761
C10orf58,Gene 1762
C10orf59,Gene 1763
C10orf6,Gene 1764
C10orf61,Gene 1765
C10orf62,Gene 1766
C10orf64,Gene 1767
C10orf65,Gene 1768
C10orf67,Gene 1769
C10orf68,Gene 1770
C10orf71,Gene 1771
C10orf72,Gene 1772
C10orf73,Gene 1773
C10orf75,Gene 1774
C10orf76,Gene 1775
C10orf78,Gene 1776
C10orf79,Gene 1777
C10orf81,Gene 1778
C10orf82,Gene 1779
C10orf84,Gene 1780
C10orf85,Gene 1781
C10orf88,Gene 1782
C10orf90,Gene 1783
C10orf91,Gene 1784
C10orf92,Gene 1785
C10orf93,Gene 1786
C10orf95,Gene 1787
C10orf96,Gene 1788
C10orf99,Gene 1789
C11orf1,Gene 1790
C11orf10,Gene 1791
C11orf16,Gene 1792
C11orf17,Gene 1793
C11orf2,Gene 1794
C11orf20,Gene 1795
C11orf21,Gene 1796
C11orf24,Gene 1797
C11orf30,Gene 1798
C11orf31,Gene 1799
C11orf34,Gene 1800
C11orf35,Gene 1801
C11orf36,Gene 1802
C11orf37,Gene 1803
C11orf39,Gene 1804
C11orf40,Gene 1805
C11orf41,Gene 1806
C11orf42,Gene 1807
C11orf44,Gene 1808
C11orf45,Gene 1809
C11orf46,Gene 1810
C11orf47,Gene 1811
C11orf48,Gene 1812
C11orf49,Gene 1813
C11orf51,Gene 1814
C11orf52,Gene 1815
C11orf53,Gene 1816
C11orf54,Gene 1817
C11orf55,Gene 1818
C11orf57,Gene 1819
C11orf58,Gene 1820
C11orf59,Gene 1821
C11orf60,Gene 1822
C11orf61,Gene 1823
C11orf63,Gene 1824
C11orf64,Gene 1825
C11orf65,Gene 1826
C11orf66,Gene 1827
C11orf67,Gene 1828
C11orf68,Gene 1829
C11orf70,Gene 1830
C11orf71,Gene 1831
C11orf72,Gene 1832
C11orf73,Gene 1833
C11orf74,Gene 1834
C11orf75,Gene 1835
C11orf76,Gene 1836
C11orf80,Gene 1837
C11orf82,Gene 1838
C11orf83,Gene 1839
C11orf84,Gene 1840
C11orf85,Gene 1841
C11orf86,Gene 1842
C11orf87,Gene 1843
C11orf88,Gene 1844
C11orf9,Gene 1845
C11orf91,Gene 1846
C11orf92,Gene 1847
C12orf10,Gene 1848
C12orf11,Gene 1849
C12orf12,Gene 1850
C12orf23,Gene 1851
C12orf24,Gene 1852
C12orf26,Gene 1853
C12orf27,Gene 1854
C12orf28,Gene 1855
C12orf29,Gene 1856
C12orf30,Gene 1857
C12orf31,Gene 1858
C12orf32,Gene 1859
C12orf33,Gene 1860
C12orf34,Gene 1861
C12orf35,Gene 1862
C12orf36,Gene 1863
C12orf37,Gene 1864
C12orf39,Gene 1865
C12orf4,Gene 1866
C12orf40,Gene 1867
C12orf41,Gene 1868
C12orf42,Gene 1869
C12orf43,Gene 1870
C12orf44,Gene 1871
C12orf45,Gene 1872
C12orf47,Gene 1873
C12orf48,Gene 1874
C12orf49,Gene 1875
C12orf5,Gene 1876
C12orf50,Gene 1877
C12orf51,Gene 1878
C12orf52,Gene 1879
C12orf53,Gene 1880
C12orf54,Gene 1881
C12orf55,Gene 1882
C12orf56,Gene 1883
C12orf57,Gene 1884
C12orf59,Gene 1885
C12orf60,Gene 1886
C12orf61,Gene 1887
C12orf62,Gene 1888
C12orf63,Gene 1889
C12orf64,Gene 1890
C12orf65,Gene 1891
C12orf66,Gene 1892
C12orf67,Gene 1893
C12orf68,Gene 1894
C12orf69,Gene 1895
C12orf71,Gene 1896
C12orf72,Gene 1897
C12orf73,Gene 1898
C12orf74,Gene 1899
C12orf76,Gene 1900
C12orf77,Gene 1901
C12orf8,Gene 1902
C13orf1,Gene 1903
C13orf15,Gene 1904
C13orf16,Gene 1905
C13orf18,Gene 1906
C13orf23,Gene 1907
C13orf25,Gene 1908
C13orf26,Gene 1909
C13orf27,Gene 1910
C13orf28,Gene 1911
C13orf29,Gene 1912
C13orf3,Gene 1913
C13orf30,Gene 1914
C13orf31,Gene 1915
C13orf33,Gene 1916
C13orf34,Gene 1917
C13orf35,Gene 1918
C13orf36,Gene 1919
C13orf37,Gene 1920
C13orf39,Gene 1921
C13orf7,Gene 1922
C14orf1,Gene 1923
C14orf100,Gene 1924
C14orf101,Gene 1925
C14orf102,Gene 1926
C14orf104,Gene 1927
C14orf105,Gene 1928
C14orf106,Gene 1929
C14orf109,Gene 1930
C14orf11,Gene 1931
C14orf112,Gene 1932
C14orf115,Gene 1933
C14orf118,Gene 1934
C14orf119,Gene 1935
C14orf121,Gene 1936
C14orf124,Gene 1937
C14orf125,Gene 1938
C14orf126,Gene 1939
C14orf128,Gene 1940
C14orf129,Gene 1941
C14orf131,Gene 1942
C14orf132,Gene 1943
C14orf133,Gene 1944
C14orf135,Gene 1945
C14orf138,Gene 1946
C14orf139,Gene 1947
C14orf142,Gene 1948
C14orf143,Gene 1949
C14orf144,Gene 1950
C14orf145,Gene 1951
C14orf147,Gene 1952
C14orf148,Gene 1953
C14orf149,Gene 1954
C14orf153,Gene 1955
C14orf156,Gene 1956
C14orf159,Gene 1957
C14orf162,Gene 1958
C14orf165,Gene 1959
C14orf166,Gene 1960
C14orf166B,Gene 1961
C14orf167,Gene 1962
C14orf169,Gene 1963
C14orf173,Gene 1964
C14orf174,Gene 1965
C14orf176,Gene 1966
C14orf177,Gene 1967
C14orf178,Gene 1968
C14orf179,Gene 1969
C14orf180,Gene 1970
C14orf181,Gene 1971
C14orf182,Gene 1972
C14orf183,Gene 1973
C14orf184,Gene 1974
C14orf19,Gene 1975
C14orf2,Gene 1976
C14orf21,Gene 1977
C14orf23,Gene 1978
C14orf28,Gene 1979
C14orf32,Gene 1980
C14orf37,Gene 1981
C14orf38,Gene 1982
C14orf39,Gene 1983
C14orf4,Gene 1984
C14orf43,Gene 1985
C14orf45,Gene 1986
C14orf48,Gene 1987
C14orf49,Gene 1988
C14orf50,Gene 1989
C14orf53,Gene 1990
C14orf56,Gene 1991
C14orf64,Gene 1992
C14orf65,Gene 1993
C14orf68,Gene 1994
C14orf70,Gene 1995
C14orf72,Gene 1996
C14orf73,Gene 1997
C14orf78,Gene 1998
C14orf79,Gene 1999
C14orf80,Gene 2000
C14orf82,Gene 2001
C14orf85,Gene 2002
C14orf93,Gene 2003
C15orf17,Gene 2004
C15orf2,Gene 2005
C15orf20,Gene 2006
C15orf21,Gene 2007
C15orf23,Gene 2008
C15orf24,Gene 2009
C15orf26,Gene 2010
C15orf27,Gene 2011
C15orf28,Gene 2012
C15orf29,Gene 2013
C15orf32,Gene 2014
C15orf33,Gene 2015
C15orf34,Gene 2016
C15orf37,Gene 2017
C15orf38,Gene 2018
C15orf39,Gene 2019
C15orf40,Gene 2020
C15orf41,Gene 2021
C15orf42,Gene 2022
C15orf43,Gene 2023
C15orf44,Gene 2024
C15orf48,Gene 2025
C15orf49,Gene 2026
C15orf5,Gene 2027
C15orf51,Gene 2028
C15orf52,Gene 2029
C15orf53,Gene 2030
C15orf54,Gene 2031
C15orf55,Gene 2032
C15orf56,Gene 2033
C15orf57,Gene 2034
C15orf58,Gene 2035
C15orf59,Gene 2036
C15orf60,Gene 2037
C15orf62,Gene 2038
C15orf63,Gene 2039
C16orf10,Gene 2040
C16orf11,Gene 2041
C16orf13,Gene 2042
C16orf3,Gene 2043
C16orf30,Gene 2044
C16orf33,Gene 2045
C16orf35,Gene 2046
C16orf38,Gene 2047
C16orf42,Gene 2048
C16orf45,Gene 2049
C16orf46,Gene 2050
C16orf47,Gene 2051
C16orf48,Gene 2052
C16orf5,Gene 2053
C16orf50,Gene 2054
C16orf52,Gene 2055
C16orf53,Gene 2056
C16orf54,Gene 2057
C16orf55,Gene 2058
C16orf56,Gene 2059
C16orf57,Gene 2060
C16orf58,Gene 2061
C16orf59,Gene 2062
C16orf61,Gene 2063
C16orf62,Gene 2064
C16orf63,Gene 2065
C16orf65,Gene 2066
C16orf67,Gene 2067
C16orf68,Gene 2068
C16orf69,Gene 2069
C16orf7,Gene 2070
C16orf70,Gene 2071
C16orf71,Gene 2072
C16orf72,Gene 2073
C16orf73,Gene 2074
C16orf74,Gene 2075
C16orf75,Gene 2076
C16orf78,Gene 2077
C16orf79,Gene 2078
C16orf80,Gene 2079
C16orf81,Gene 2080
C16orf82,Gene 2081
C16orf85,Gene 2082
C16orf86,Gene 2083
C16orf87,Gene 2084
C16orf88,Gene 2085
C16orf89,Gene 2086
C16orf90,Gene 2087
C16orf91,Gene 2088
C16orf93,Gene 2089
C17orf100,Gene 2090
C17orf101,Gene 2091
C17orf102,Gene 2092
C17orf103,Gene 2093
C17orf106,Gene 2094
C17orf108,Gene 2095
C17orf28,Gene 2096
C17orf37,Gene 2097
C17orf38,Gene 2098
C17orf39,Gene 2099
C17orf41,Gene 2100
C17orf42,Gene 2101
C17orf44,Gene 2102
C17orf45,Gene 2103
C17orf46,Gene 2104
C17orf47,Gene 2105
C17orf48,Gene 2106
C17orf49,Gene 2107
C17orf50,Gene 2108
C17orf51,Gene 2109
C17orf53,Gene 2110
C17orf54,Gene 2111
C17orf55,Gene 2112
C17orf56,Gene 2113
C17orf57,Gene 2114
C17orf58,Gene 2115
C17orf59,Gene 2116
C17orf60,Gene 2117
C17orf61,Gene 2118
C17orf62,Gene 2119
C17orf63,Gene 2120
C17orf64,Gene 2121
C17orf65,Gene 2122
C17orf66,Gene 2123
C17orf67,Gene 2124
C17orf68,Gene 2125
C17orf69,Gene 2126
C17orf70,Gene 2127
C17orf71,Gene 2128
C17orf72,Gene 2129
C17orf73,Gene 2130
C17orf74,Gene 2131
C17orf75,Gene 2132
C17orf76,Gene 2133
C17orf77,Gene 2134
C17orf78,Gene 2135
C17orf79,Gene 2136
C17orf80,Gene 2137
C17orf81,Gene 2138
C17orf82,Gene 2139
C17orf85,Gene 2140
C17orf86,Gene 2141
C17orf87,Gene 2142
C17orf88,Gene 2143
C17orf89,Gene 2144
C17orf90,Gene 2145
C17orf91,Gene 2146
C17orf93,Gene 2147
C17orf95,Gene 2148
C17orf96,Gene 2149
C17orf97,Gene 2150
C17orf98,Gene 2151
C18orf1,Gene 2152
C18orf10,Gene 2153
C18orf12,Gene 2154
C18orf16,Gene 2155
C18orf18,Gene 2156
C18orf19,Gene 2157
C18orf2,Gene 2158
C18orf20,Gene 2159
C18orf21,Gene 2160
C18orf22,Gene 2161
C18orf25,Gene 2162
C18orf26,Gene 2163
C18orf32,Gene 2164
C18orf34,Gene 2165
C18orf45,Gene 2166
C18orf51,Gene 2167
C18orf54,Gene 2168
C18orf55,Gene 2169
C18orf56,Gene 2170
C18orf58,Gene 2171
C18orf62,Gene 2172
C18orf8,Gene 2173
C19orf10,Gene 2174
C19orf12,Gene 2175
C19orf15,Gene 2176
C19orf16,Gene 2177
C19orf18,Gene 2178
C19orf2,Gene 2179
C19orf20,Gene 2180
C19orf21,Gene 2181
C19orf22,Gene 2182
C19orf23,Gene 2183
C19orf24,Gene 2184
C19orf25,Gene 2185
C19orf26,Gene 2186
C19orf28,Gene 2187
C19orf29,Gene 2188
C19orf29OS,Gene 2189
C19orf30,Gene 2190
C19orf31,Gene 2191
C19orf33,Gene 2192
C19orf34,Gene 2193
C19orf35,Gene 2194
