gene,fake
ANAPC10,Gene 647
ANAPC11,Gene 648
ANAPC13,Gene 649
ANAPC2,Gene 650
ANAPC4,Gene 651
ANAPC5,Gene 652
ANAPC7,Gene 653
ANG,Gene 654
ANGEL1,Gene 655
ANGEL2,Gene 656
ANGPT1,Gene 657
ANGPT2,Gene 658
ANGPT4,Gene 659
ANGPTL1,Gene 660
ANGPTL2,Gene 661
ANGPTL3,Gene 662
ANGPTL4,Gene 663
ANGPTL5,Gene 664
ANGPTL6,Gene 665
ANGPTL7,Gene 666
ANK1,Gene 667
ANK2,Gene 668
ANK3,Gene 669
ANKAR,Gene 670
ANKDD1A,Gene 671
ANKFN1,Gene 672
ANKFY1,Gene 673
ANKH,Gene 674
ANKHD1,Gene 675
ANKHD1-EIF4EBP3,Gene 676
ANKIB1,Gene 677
ANKK1,Gene 678
ANKLE1,Gene 679
ANKLE2,Gene 680
ANKMY1,Gene 681
ANKMY2,Gene 682
ANKRA2,Gene 683
ANKRD1,Gene 684
ANKRD10,Gene 685
ANKRD11,Gene 686
ANKRD12,Gene 687
ANKRD13A,Gene 688
ANKRD13B,Gene 689
ANKRD13C,Gene 690
ANKRD13D,Gene 691
ANKRD16,Gene 692
ANKRD17,Gene 693
ANKRD18A,Gene 694
ANKRD18B,Gene 695
ANKRD19,Gene 696
ANKRD2,Gene 697
ANKRD20A1,Gene 698
ANKRD20A2,Gene 699
ANKRD20A3,Gene 700
ANKRD20A4,Gene 701
ANKRD20B,Gene 702
ANKRD21,Gene 703
ANKRD22,Gene 704
ANKRD23,Gene 705
ANKRD24,Gene 706
ANKRD26,Gene 707
ANKRD27,Gene 708
ANKRD28,Gene 709
ANKRD29,Gene 710
ANKRD30A,Gene 711
ANKRD30B,Gene 712
ANKRD31,Gene 713
ANKRD32,Gene 714
ANKRD33,Gene 715
ANKRD34A,Gene 716
ANKRD34B,Gene 717
ANKRD34C,Gene 718
ANKRD35,Gene 719
ANKRD36,Gene 720
ANKRD36B,Gene 721
ANKRD37,Gene 722
ANKRD38,Gene 723
ANKRD39,Gene 724
ANKRD40,Gene 725
ANKRD41,Gene 726
ANKRD42,Gene 727
ANKRD43,Gene 728
ANKRD44,Gene 729
ANKRD45,Gene 730
ANKRD46,Gene 731
ANKRD47,Gene 732
ANKRD49,Gene 733
ANKRD5,Gene 734
ANKRD50,Gene 735
ANKRD52,Gene 736
ANKRD53,Gene 737
ANKRD54,Gene 738
ANKRD55,Gene 739
ANKRD56,Gene 740
ANKRD57,Gene 741
ANKRD58,Gene 742
ANKRD6,Gene 743
ANKRD7,Gene 744
ANKRD9,Gene 745
ANKS1A,Gene 746
ANKS1B,Gene 747
ANKS3,Gene 748
ANKS4B,Gene 749
ANKS6,Gene 750
ANKZF1,Gene 751
ANLN,Gene 752
ANO1,Gene 753
ANO10,Gene 754
ANO2,Gene 755
ANO3,Gene 756
ANO4,Gene 757
ANO5,Gene 758
ANO6,Gene 759
ANO7,Gene 760
ANO8,Gene 761
ANO9,Gene 762
ANP32A,Gene 763
ANP32B,Gene 764
ANP32C,Gene 765
ANP32D,Gene 766
ANP32E,Gene 767
ANPEP,Gene 768
ANRIL,Gene 769
ANTXR1,Gene 770
ANTXR2,Gene 771
ANTXRL,Gene 772
ANUBL1,Gene 773
ANXA1,Gene 774
ANXA10,Gene 775
ANXA11,Gene 776
ANXA13,Gene 777
ANXA2,Gene 778
ANXA2P1,Gene 779
ANXA2P2,Gene 780
ANXA2P3,Gene 781
ANXA3,Gene 782
ANXA4,Gene 783
ANXA5,Gene 784
ANXA6,Gene 785
ANXA7,Gene 786
ANXA8,Gene 787
ANXA8L1,Gene 788
ANXA8L2,Gene 789
ANXA9,Gene 790
AOAH,Gene 791
AOC2,Gene 792
AOC3,Gene 793
AOF2,Gene 794
AOX1,Gene 795
AOX2P,Gene 796
AP1B1,Gene 797
AP1G1,Gene 798
AP1G2,Gene 799
AP1GBP1,Gene 800
AP1M1,Gene 801
AP1M2,Gene 802
