SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
NRF1,26.7924996569,26.7267699001,26.7924996569,28.2102417054,24.9025014636,32.5493986373,24.9025014636,33.175541975
NRG1,245.688169962,218.419039445,245.688169962,200.990348375,108.525871143,102.667849221,108.525871143,99.0461427325
NRG2,18.0000642448,16.7984710233,18.0000642448,16.7436976621,16.8386666122,17.8563784067,16.8386666122,15.7149624788
NRG3,12.4080988556,12.6448980308,12.4080988556,12.8997286349,11.599902912,13.0409415813,11.599902912,12.0632846835
NRG4,12.1864957406,10.9587887941,12.1864957406,13.6621167665,13.1754636157,11.2414338404,13.1754636157,12.1646518146
NRGN,19.7654058513,21.1394123409,19.7654058513,27.8085729887,20.8877735651,20.4150281552,20.8877735651,19.2636148317
NRIP1,670.024635497,646.892315479,670.024635497,634.119061425,439.545050991,519.643900372,439.545050991,572.485694435
NRIP2,21.6306032428,23.6917671741,21.6306032428,21.9726146068,20.974646483,21.0923208007,20.974646483,20.9009960028
NRIP3,26.0795495232,27.0851055172,26.0795495232,23.2446822486,24.0124752811,21.489922998,24.0124752811,22.1584280579
NRK,12.0682871585,11.9975014499,12.0682871585,11.1294597835,12.9287271037,12.4875708338,12.9287271037,12.0125129869
NRL,15.8201599298,17.7234644087,15.8201599298,18.0460674141,17.8694802202,17.4024868275,17.8694802202,16.1983972685
NRM,121.86610798,123.237909531,121.86610798,127.720710728,150.130188419,114.554994193,150.130188419,107.646299276
NRN1,27.1672522149,24.9485112322,27.1672522149,24.4473545723,27.8071884618,25.3944126849,27.8071884618,28.8984535811
NRP1,42.3553232323,40.2552571163,42.3553232323,37.134876805,26.9505633277,24.1512458573,26.9505633277,26.0552142023
NRP2,25.7393361017,26.9332192826,25.7393361017,23.925958486,26.1530523067,29.1723961646,26.1530523067,31.0491835514
NRSN1,18.5468311195,18.6526372907,18.5468311195,25.5167788353,23.4772711481,22.3732755289,23.4772711481,20.4454471666
NRSN2,19.8726208597,21.2584235672,19.8726208597,18.3271394972,22.6576869724,21.5198852238,22.6576869724,20.0917567843
NRTN,19.4664282075,13.2688845887,19.4664282075,12.9314112863,12.1984696088,15.6379692735,12.1984696088,13.4131733248
NRXN1,14.8269964469,13.7768602354,14.8269964469,14.1234276582,13.6328209899,14.265832833,13.6328209899,13.9587349387
NRXN2,12.3753253006,13.1846031753,12.3753253006,14.5738613609,13.1581630903,14.7600497193,13.1581630903,12.5500575625
NRXN3,16.6036379498,18.626801351,16.6036379498,18.2331689682,16.8099999873,18.1467349987,16.8099999873,17.986261225
NS3BP,37.181187382,43.1900821112,37.181187382,38.579160836,35.7415873222,39.2157601127,35.7415873222,37.176925247
NSA2,1898.65847281,1861.5528731,1898.65847281,1938.52624213,1762.4517324,1742.32834168,1762.4517324,1735.36143279
