SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
ING3,32.6791837401,31.9218796208,32.6791837401,31.2762861731,26.0453765258,29.626558816,26.0453765258,30.9798779575
ING4,90.9833420376,90.9057112757,90.9833420376,88.7671296673,112.755426384,137.035118924,112.755426384,114.00669918
ING5,47.5872310136,43.906200074,47.5872310136,41.6224381688,46.9182105541,45.0842255656,46.9182105541,45.5055717259
INGX,15.6908284666,18.8114373932,15.6908284666,18.1039789517,19.2072951787,18.5499329605,19.2072951787,15.0991608107
INHA,22.7085938824,21.3692640329,22.7085938824,21.7673678837,26.9118126252,24.8482185734,26.9118126252,23.1567464986
INHBA,764.396621772,968.548478593,764.396621772,790.973093365,863.467103301,1515.25158787,863.467103301,1341.17274016
INHBB,18.1521087869,17.3834284659,18.1521087869,17.5122589423,18.6629001717,16.3428574704,18.6629001717,16.673333296
INHBC,26.1573710009,26.728945473,26.1573710009,24.9131712028,25.9569101954,28.8922742348,25.9569101954,28.563994442
INHBE,14.1107431926,13.8116628492,14.1107431926,12.3069988825,13.7619311477,13.6378693726,13.7619311477,12.2086886766
INMT,15.7486155592,14.6952168816,15.7486155592,17.6832722096,13.6863453381,14.7753305705,13.6863453381,14.9256183768
INO80,146.704848531,112.684765505,146.704848531,120.305495579,102.805008653,121.590051818,102.805008653,120.27486991
INO80B,63.1679815525,57.3937185883,63.1679815525,59.2578026582,77.1290943563,78.8650409926,77.1290943563,74.1631708826
INO80B ,142.240625855,126.166967927,142.240625855,129.172176244,206.490363878,127.114798865,206.490363878,147.440755884
INO80C,334.596914316,317.30746564,334.596914316,348.4938834,362.246502139,374.45431835,362.246502139,377.156750357
INO80D,51.6952863779,51.9930790868,51.6952863779,58.9016840232,55.1035587359,51.9753989616,55.1035587359,55.4206749914
INO80E,36.3815458044,37.5620841338,36.3815458044,37.7832816548,34.7644665659,39.6195006475,34.7644665659,38.9055800257
INPP1,236.884440706,354.674878507,236.884440706,364.236376139,401.052898975,460.152187251,401.052898975,463.044338917
INPP4A,44.116798594,41.4801386692,44.116798594,36.4930220023,43.7789005571,40.6270339018,43.7789005571,44.3776744842
INPP4B,117.508327133,105.548699448,117.508327133,114.592207303,66.6357620613,82.1075775255,66.6357620613,87.8127364099
INPP5A,169.772927662,162.097462412,169.772927662,158.679212599,147.239933421,141.188968678,147.239933421,133.84261955
INPP5B,25.8642817557,23.606876695,25.8642817557,23.2976258764,22.9014900197,23.6740442916,22.9014900197,24.0005748567
INPP5D,52.6903274054,51.934905229,52.6903274054,47.6700839038,61.2007415943,54.1619255074,61.2007415943,52.2515438396
INPP5E,66.499939785,70.0794679595,66.499939785,70.8401774053,68.3634169791,73.0165398169,68.3634169791,73.2720308605
INPP5F,101.032374351,93.0051419384,101.032374351,91.2314109281,58.7097786786,83.0262806047,58.7097786786,79.3345083961
INPP5J,26.005881595,24.64588799,26.005881595,20.8223320327,20.4213830348,22.9034655756,20.4213830348,22.1519336892
INPP5K,91.3461791982,84.8593711611,91.3461791982,93.0751892216,97.1361525652,99.4832462705,97.1361525652,98.5816385343
INPPL1,123.572524621,148.482566044,123.572524621,125.48550099,143.795217358,142.835105687,143.795217358,159.698740915
INS,13.6176513837,15.6786098011,13.6176513837,15.5959681503,15.0828741622,14.0165746684,15.0828741622,14.860348477
INSC,11.0249597747,11.303483227,11.0249597747,11.1480441653,11.1480441653,11.8289162823,11.1480441653,11.0837624869
INSIG1,1066.41074499,902.154368991,1066.41074499,842.05395493,1121.91774014,937.399870269,1121.91774014,859.245113662
INSIG2,180.399303908,218.983849033,180.399303908,212.816983255,154.685226954,246.206507185,154.685226954,274.931054725
INSL3,15.5343759002,16.6524448552,15.5343759002,13.8038831016,13.3183679244,17.6296541772,13.3183679244,15.4696619686
INSL3 ,19.7456786937,16.7836935296,19.7456786937,20.2471858694,22.8779555911,19.0470548891,22.8779555911,21.0942351624
INSL4,19.3329366196,20.6130186265,19.3329366196,20.5623192429,20.5318410361,19.7149994604,20.5318410361,18.1496527492
INSL5,14.1107431926,15.0104757134,14.1107431926,12.5095442625,13.249925668,12.9207638744,13.249925668,13.5985952676
INSL6,13.7918578939,17.3680317473,13.7918578939,15.2669229453,13.5229686558,16.4448312335,13.5229686558,16.1695030121
INSM1,14.5512911195,13.9056593878,14.5512911195,13.8795726875,12.4619448718,13.7114172291,12.4619448718,13.5259515645
INSM2,13.3494372751,13.4313465959,13.3494372751,13.7773880317,13.9680121271,14.2625742249,13.9680121271,14.5163242759
INSR,25.976529956,29.2654349981,25.976529956,23.5084930602,31.0549041351,29.4971292559,31.0549041351,34.7947352706
INSRR,22.5914255583,21.7333159063,22.5914255583,28.7022449137,24.2596693851,23.5117402294,24.2596693851,22.4376515998
INTS1,70.8035533521,74.3796962568,70.8035533521,68.0547385801,71.6424198647,60.0047760486,71.6424198647,70.0880740249
