SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
COMMD6,284.598507593,300.750191476,284.598507593,311.647952601,319.737320256,315.506634803,319.737320256,294.958455766
COMMD7,83.8195121568,79.1357909405,83.8195121568,87.3358744185,84.9395185758,80.7683436369,84.9395185758,87.2260453389
COMMD8,1345.15145609,1286.60140297,1345.15145609,942.251119017,1056.57412398,873.483172151,1056.57412398,762.433181478
COMMD9,217.41780392,179.027860885,217.41780392,118.348204576,181.496295876,129.546158535,181.496295876,80.4302433941
COMP,10.7944177848,11.6705884042,10.7944177848,13.6006736909,13.0121042879,12.4358758838,13.0121042879,13.8677846918
COMT,130.967361922,118.551856818,130.967361922,108.690680965,122.055818057,113.468525012,122.055818057,105.174183403
COMTD1,87.6485579705,91.8837348748,87.6485579705,66.790902351,65.4006128931,76.5835446172,65.4006128931,73.9297512204
COPA,94.0339443671,92.13348113,94.0339443671,93.7092050918,78.0478314353,67.7757226615,78.0478314353,76.5969037917
COPB1,477.702451781,438.149664364,477.702451781,536.636216648,475.516280654,504.948182644,475.516280654,543.47165636
COPB2,1969.67783533,1788.43900274,1969.67783533,1708.35342997,1661.0878497,1706.99211524,1661.0878497,1782.38795884
COPE,100.177360917,99.1744832611,100.177360917,103.511947896,93.4538513442,91.2314109281,93.4538513442,89.8477301309
COPG,763.012362859,614.301411123,763.012362859,735.327445879,581.053787786,601.162487676,581.053787786,662.827184876
COPG2,30.406141723,34.4162563038,30.406141723,34.4384856597,28.8132899022,39.4577863949,28.8132899022,35.4982455527
COPG2IT1,12.2627775299,12.4388250669,12.2627775299,12.00424094,12.8947275407,11.8021863566,12.8947275407,12.7629755223
COPS2,596.445646409,580.322841171,596.445646409,572.485694435,521.847153363,486.801692106,521.847153363,581.884568071
COPS3,662.827184876,606.325193513,662.827184876,606.667657306,542.217068086,509.677940391,542.217068086,503.508483313
COPS4,124.35622275,107.39609164,124.35622275,124.808235069,110.137316893,115.762462378,110.137316893,106.643954043
COPS5,726.236933116,700.74933349,726.236933116,709.746499452,661.736693424,644.738183176,661.736693424,656.547842843
COPS6,680.494242394,663.549591273,680.494242394,601.162487676,544.167530662,523.102065817,544.167530662,432.496478567
COPS7A,401.89863536,415.122839361,401.89863536,487.069523893,458.488483531,488.121047067,458.488483531,476.999126158
COPS7B,45.9059202692,49.085994543,45.9059202692,51.4860919893,48.0796220306,51.8106657312,48.0796220306,47.9146966336
COPS8,142.680194615,142.240625855,142.680194615,142.299274087,152.922874826,150.361864571,152.922874826,144.646298744
COPZ1,1077.21864335,1009.77759388,1077.21864335,983.70501089,992.623460521,937.399870269,992.623460521,899.176182577
COPZ2,72.2119680568,78.2066299011,72.2119680568,98.9451090447,94.9552759293,86.3309108812,94.9552759293,90.8561033787
COQ10A,65.6511428968,63.7257215334,65.6511428968,59.044185772,62.1831248681,62.4089995019,62.1831248681,51.7862837391
COQ10B,85.7642323474,73.2255059105,85.7642323474,70.6964029558,79.0237517443,67.0789698401,79.0237517443,77.3510561823
COQ2,63.3512532704,64.7547911778,63.3512532704,64.171824456,49.1359527236,53.6488748938,49.1359527236,51.8371811175
COQ3,225.628588347,211.119151995,225.628588347,141.890765006,177.134543698,145.833680035,177.134543698,83.4134738538
COQ4,132.758193243,145.923263655,132.758193243,142.818932956,114.00669918,140.466145453,114.00669918,139.367685693
COQ5,401.639887908,437.691428322,401.639887908,475.516280654,444.817305684,415.38158875,444.817305684,370.208673866
COQ6,51.122180353,52.9944877597,51.122180353,51.8928023502,53.8147370807,44.8325485686,53.8147370807,46.322445856
COQ7,33.8410114133,33.6779191802,33.8410114133,31.9656984859,25.9793592284,27.7519681261,25.9793592284,28.9327663238
COQ9,91.8564559073,96.763993577,91.8564559073,105.644139428,109.165297269,118.137632609,109.165297269,102.08468833
CORIN,16.5366661795,15.5077713474,16.5366661795,15.7019325808,18.4603017117,15.6976739422,18.4603017117,19.4174900604
CORO1A,49.5890154668,40.6777023221,49.5890154668,31.6366185295,37.0947732022,27.9734527858,37.0947732022,25.765355728
CORO1B,95.8872003115,98.0173340415,95.8872003115,110.808859631,106.515296251,116.59577318,106.515296251,95.3179810917
CORO1C,1858.10498181,1667.351916,1858.10498181,1584.74089148,1797.50996461,1618.11237225,1797.50996461,1539.74389572
CORO2A,236.819207487,230.86220133,236.819207487,282.683449329,195.654433734,223.490390491,195.654433734,404.933008195
CORO2B,19.7194347729,18.3949019957,19.7194347729,17.166296467,17.3142142336,19.682146814,17.3142142336,15.981917334
CORO6,38.0625839945,34.1718598195,38.0625839945,31.3684350958,40.8270143982,33.0330748546,40.8270143982,34.54964869
CORO7,30.9487865528,35.7222063927,30.9487865528,31.9314814998,47.0311435374,41.9840698424,47.0311435374,33.1056340018
