SYMBOL	SPT1657_SPT1663	SPT1658_SPT1664	SPT1659_SPT1665	SPT1660_SPT1666	SPT1661_SPT1667	SPT1662_SPT1668
EPHA7	3188.16152901607	3600.46255389507	3004.21509118153	2779.2609461121	3519.34183183844	3107.94779145476
EPHA8	3773.51911648193	3588.01036126796	3779.16602947495	3443.01918838096	3882.91445889111	3144.40465704367
EPHB1	7463.55769417416	7388.59743952725	6954.92863012451	7015.70699512865	7356.93845619608	6521.8728476736
EPHB2	5458.03713134547	5325.09123274945	5093.51013186687	5030.77968320715	5815.102131273	4656.06254806963
EPHB3	1306.86795843396	1222.09376211754	1188.88398352724	1202.38173394605	1433.69149251364	1158.80751336185
EPHB4	3741.71700646681	3178.86688923443	3060.54412414118	2965.14952488958	3758.29041392405	3196.48589359926
EPHB6	6698.31942193526	6493.81845503653	5849.6847258404	5331.82850347117	6482.51023985694	5640.39791897026
EPHX1	6435.9520143105	5991.2835382997	5824.08061994965	5517.71708224865	6539.15753302378	5159.94851174495
EPHX2	4965.10442611107	4300.45366800461	3927.66984364131	3732.27995242982	5086.92692638281	4514.14117845565
EPHX3	3677.11897049859	3542.64880241207	3178.32301123864	3005.95433486512	4450.41734134443	3846.19931963023
EPHX4	6182.52895012749	5989.50465363868	5166.90856875369	5120.55026515335	6672.02118426966	5787.5274122398
EPM2A	6932.8599832968	7793.29369990824	8210.3832889677	8726.78869343649	7860.58438998858	9008.75189320296
EPO	7173.36344028616	7198.25678079861	6176.56381104566	6137.04342032192	7924.44133864939	6752.33231943208
EPOR	2952.62715171657	3154.85194631072	2428.12270863962	2467.33084318793	3296.87246231046	2695.20399175172
EPRS	2107.88360443987	1886.50718300678	2545.04812554072	2239.7306808799	1790.05446407235	1425.72385070924
EPS15	7501.32269981712	7802.18812321332	7000.16255053151	7773.76968711877	7973.87897632228	6632.54547535423
EPS15L1	5416.29686195062	5760.91797469821	4699.20690114929	4516.63907751529	5548.3448779964	4950.32153460871
EPS8	5834.69337183708	5559.01456567297	5003.04229105288	4690.73960007761	6156.01584105893	5119.58555341437
EPS8L1	2262.91889076359	2075.95839940491	1953.59327946435	1884.27544731515	2080.50058540054	1778.57422837336
EPS8L2	7329.39254254786	7217.82451206978	7122.20878861076	6969.46154382303	7122.10967724988	6557.02768234862
EPS8L3	3382.9494528587	3166.41469660732	2820.71899896448	2806.46415276246	3976.63998031262	3240.75494467151
EPX	3464.44235977245	3604.9097655476	3358.40522267026	3668.80580357897	3547.15050302944	3001.1812565158
EPYC	5737.29940991577	5763.58630168973	5207.02166798253	5239.33760085994	6639.0627591544	5795.33959772314
ERAL1	2753.86396412205	2639.86483694678	2890.70355506586	2540.77950114392	2742.75894006022	2436.09983988766
ERAP1	5715.43545928037	5403.36215783412	5017.55128439097	4821.31499199936	5698.71769258475	5089.63884239491
ERAP2	6344.52094801702	6114.02657990975	5710.56908383398	5670.9618130457	6183.82451224993	5262.80895394224
ERAS	3368.04221378911	3486.61393559008	3031.526137465	3137.43650034188	3545.09060145974	3252.47322289652
